id_student,code_module,weighted_score,date_registration
11391,AAA,82.4,-159.0
28400,AAA,65.4,-53.0
30268,AAA,,-92.0
31604,AAA,76.3,-52.0
32885,AAA,55.0,-176.0
38053,AAA,66.9,-110.0
45462,AAA,67.8,-67.0
45642,AAA,72.5,-29.0
52130,AAA,71.2,-33.0
53025,AAA,79.0,-179.0
57506,AAA,74.0,-103.0
58873,AAA,73.7,-47.0
59185,AAA,80.8,-59.0
62155,AAA,76.4,-68.0
63400,AAA,71.2,-67.0
65002,AAA,20.2,-180.0
70464,AAA,53.5,-95.0
71361,AAA,79.7,-130.0
74372,AAA,32.8,-50.0
75091,AAA,65.8,-107.0
77367,AAA,69.5,-27.0
91265,AAA,69.0,-31.0
94961,AAA,7.4,-170.0
98094,AAA,60.6,-107.0
100893,AAA,68.7,-62.0
101781,AAA,71.6,-103.0
102806,AAA,76.0,-107.0
102952,AAA,77.1,-100.0
104476,AAA,78.9,-109.0
106247,AAA,29.3,5.0
106577,AAA,54.2,-107.0
110175,AAA,63.7,-110.0
111717,AAA,48.9,-43.0
113295,AAA,77.3,-26.0
114017,AAA,72.3,-29.0
114999,AAA,70.8,-68.0
116541,AAA,59.8,-68.0
116692,AAA,74.2,-32.0
118983,AAA,59.0,-99.0
123044,AAA,70.7,-82.0
127582,AAA,69.4,-31.0
129955,AAA,40.1,-197.0
132976,AAA,67.3,-75.0
134143,AAA,83.8,-96.0
135335,AAA,,-29.0
135400,AAA,17.4,-32.0
137873,AAA,81.7,-195.0
141355,AAA,72.0,-61.0
141377,AAA,4.5,-110.0
142326,AAA,75.3,-37.0
144801,AAA,70.6,-67.0
145130,AAA,53.2,-36.0
146188,AAA,48.8,-132.0
147756,AAA,51.3,-92.0
147793,AAA,5.2,-138.0
148993,AAA,36.4,-174.0
151358,AAA,49.6,-44.0
155550,AAA,66.0,-16.0
155854,AAA,79.4,-54.0
155984,AAA,23.5,-64.0
157568,AAA,68.6,-52.0
159954,AAA,20.1,-46.0
164259,AAA,70.4,-64.0
167906,AAA,70.9,-117.0
168936,AAA,64.9,-32.0
172112,AAA,71.1,-50.0
172797,AAA,61.4,-45.0
174782,AAA,80.1,-162.0
175392,AAA,81.7,-195.0
175932,AAA,78.8,-92.0
175991,AAA,36.0,-57.0
180753,AAA,51.7,-64.0
181316,AAA,7.6,-39.0
183096,AAA,54.0,-128.0
183947,AAA,46.6,-32.0
184271,AAA,58.7,-74.0
185439,AAA,7.4,-12.0
186149,AAA,75.6,-109.0
187100,AAA,89.4,-136.0
188278,AAA,7.6,-57.0
189879,AAA,78.8,-180.0
192183,AAA,66.7,-62.0
195262,AAA,10.0,-45.0
200860,AAA,50.8,-54.0
202635,AAA,33.2,-73.0
205350,AAA,72.2,-68.0
205719,AAA,27.3,-51.0
227499,AAA,83.5,-169.0
227517,AAA,61.7,-172.0
228082,AAA,74.8,-31.0
228222,AAA,60.7,-108.0
229179,AAA,65.1,-165.0
229361,AAA,77.5,-58.0
231554,AAA,52.8,-29.0
235507,AAA,6.5,-79.0
236284,AAA,75.5,2.0
238007,AAA,79.5,-151.0
240712,AAA,74.2,-45.0
240884,AAA,56.4,-47.0
241649,AAA,78.8,-50.0
241729,AAA,59.6,-31.0
242793,AAA,79.2,-36.0
246834,AAA,54.8,-16.0
248270,AAA,78.9,-198.0
